matrix,method,rank,error,error_svd,improvement
G14,Hybrid SVD-Ensemble,30,0.8722997572714448,0.8146695617871875,-7.074057775993326
G14,Hybrid SVD-Ensemble,40,0.84811608609816,0.7785229933205559,-8.93911848136633
G14,Hybrid SVD-Ensemble,50,0.8268223054537717,0.7471046581577814,-10.670211519301581
G14,Hybrid SVD-Ensemble,60,0.8075440223739137,0.7194690941081535,-12.241655546710717
G14,Hybrid SVD-Ensemble,70,0.7901667361103051,0.6940591709149398,-13.847171714289422
G14,Hybrid SVD-Ensemble,80,0.7746103528348844,0.6704068041560335,-15.543331009301355
G14,Hybrid SVD-Ensemble,90,0.7599523147514418,0.6482969785142563,-17.22286852131768
G14,Hybrid SVD-Ensemble,100,0.7459156991647915,0.6274247769191106,-18.885279415887194
G14,Matrix-Adaptive,10,1.1412948592537095,0.9067967985596675,-25.86004505822171
G14,Matrix-Adaptive,20,2.5177203527525496,0.8561916771389737,-194.0603628810892
G14,Matrix-Adaptive,30,4.701784870032371,0.8146695617871875,-477.1401179783611
G14,Matrix-Adaptive,100,7.309330131448597,0.6274247769191106,-1064.973141057663
G15,Weighted Ensemble,10,0.9693908645842014,0.9048217070333124,-7.136119419879454
G15,Weighted Ensemble,20,0.9520044456699812,0.8528184723814669,-11.630373461721673
G15,Weighted Ensemble,30,0.9339381057118488,0.8103260324808856,-15.254609660325697
G15,Weighted Ensemble,40,0.915646367918988,0.7741928431374634,-18.271096928289293
G15,Weighted Ensemble,50,0.9000033065405688,0.7428625160979955,-21.153414937124644
G15,Weighted Ensemble,60,0.8826898008162479,0.7143561067826353,-23.56439490547161
G15,Weighted Ensemble,70,0.8655167786687393,0.6884543728426659,-25.718829425830076
G15,Weighted Ensemble,80,0.8500777201267489,0.6648619700132354,-27.857774766366372
G15,Weighted Ensemble,90,0.8340017440702168,0.6428661736627889,-29.73178217146121
G15,Weighted Ensemble,100,0.8188574606201695,0.6224835861554355,-31.546835745111355
G15,Hybrid SVD-Ensemble,10,0.9332256075683858,0.9048217070333124,-3.1391709896309576
G15,Hybrid SVD-Ensemble,20,0.8970898544786052,0.8528184723814669,-5.191184704701808
G15,Hybrid SVD-Ensemble,30,0.8690687664568887,0.8103260324808856,-7.249271481030532
G15,Hybrid SVD-Ensemble,40,0.8443766017179651,0.7741928431374634,-9.065410408093907
G15,Hybrid SVD-Ensemble,50,0.8232176175376908,0.7428625160979955,-10.816954644820878
G15,Hybrid SVD-Ensemble,60,0.8040239512692818,0.7143561067826353,-12.552261209118596
G15,Hybrid SVD-Ensemble,70,0.7865311167479857,0.6884543728426659,-14.245932304904331
G15,Hybrid SVD-Ensemble,80,0.7704040384591148,0.6648619700132354,-15.874282664081132
G15,Hybrid SVD-Ensemble,90,0.7558227570306938,0.6428661736627889,-17.570777246580644
G15,Hybrid SVD-Ensemble,100,0.7420548312964801,0.6224835861554355,-19.208738639927343
G15,Matrix-Adaptive,10,1.216038687059204,0.9048217070333124,-34.395392772604374
G15,Matrix-Adaptive,20,1.584971553563909,0.8528184723814669,-85.85098762435683
G15,Matrix-Adaptive,30,2.9767313154659054,0.8103260324808856,-267.34983156747114
G2,Weighted Ensemble,10,0.9736312746045545,0.9472009877036544,-2.7903567715840687
G2,Weighted Ensemble,20,0.9564296126352104,0.9246614734857036,-3.435650782523708
G2,Weighted Ensemble,30,0.9421206108367708,0.902837094771877,-4.351118966242706
G2,Weighted Ensemble,40,0.9282319464305316,0.8815786785184972,-5.292014093448326
G2,Weighted Ensemble,50,0.9157273142096416,0.8609955722151028,-6.356797149807541
G2,Weighted Ensemble,60,0.9029695269506156,0.8409209579333367,-7.378644619557432
G2,Weighted Ensemble,70,0.89043781761708,0.8213341581381034,-8.413586454948963
G2,Weighted Ensemble,80,0.8780185404770021,0.8021447036250652,-9.45887151146753
G2,Weighted Ensemble,90,0.8657394070296796,0.783175629061058,-10.542179161985228
