Episode,Reward,Error,Avg_Policy_Loss,Avg_Value_Loss,Avg_Entropy,Selected_Cols
0,-34.6142626230065,0.840066893168143,0.06202033907175064,5.616104900836945,5.085218071937561,40
Episode,Reward,Error,Avg_Policy_Loss,Avg_Value_Loss,Avg_Entropy,Selected_Cols
0,-31.09833177591421,0.7208770405533048,-0.05871853441931307,3.225898891687393,5.100186288356781,40
49,-34.727006479070916,0.8586550392687281,-0.3499013252928853,2.9454421257972716,5.041228284835816,40
99,-30.129810676315394,0.53949675084035,-0.4866582951322198,2.277453337907791,4.952099666595459,40
149,-38.85314686329388,0.9911960520481808,-0.6026992165111005,2.6758732062578203,4.9066776943206785,40
199,-36.449674105883865,0.8679878049600424,-1.0068171984702348,2.1251390314102174,4.7170106267929075,40
249,-37.867126891583005,0.9624814672517681,-1.6585183961316943,2.0783663523197173,4.379110581874848,40
299,-35.616342201823265,0.8639430992685664,-2.075644949823618,2.109152055978775,3.6499915328621864,40
349,-39.313618625520355,0.991492209574072,-2.695320035368204,2.394529548287392,3.18142687946558,40
399,-34.6179116609358,0.8603550318931428,-3.742780328840017,4.006107004284859,1.920470229461789,40
