matrix,method,rel_frob_error,spec_error,time,train_matrix
oscil_dcop_10,Deterministic SVD,0.184340971950101,0.1499247180593109,2.497432947158813,True
oscil_dcop_10,Randomized SVD,0.1843409719501123,0.1499247180593108,0.0633621215820312,True
oscil_dcop_10,RL-DQN,0.99795396706313,1.0,0.2252142429351806,True
oscil_dcop_10,RL-A2C,0.997711963111042,0.9999999999999996,3.724877595901489,True
oscil_dcop_10,CUR,2.8934878787764684,4.225507059807621,0.0530941486358642,True
oscil_dcop_11,Deterministic SVD,0.1843411283324822,0.1499247180593295,1.3853824138641355,False
oscil_dcop_11,Randomized SVD,0.1843411283325641,0.1499247180593294,0.0649251937866211,False
oscil_dcop_11,RL-DQN,0.9953179665307782,1.0,0.1979718208312988,False
oscil_dcop_11,RL-A2C,0.9997046342985398,0.9999999999999996,2.176046848297119,False
oscil_dcop_11,CUR,2.902160483883443,4.23817077904733,0.1044590473175048,False
oscil_dcop_12,Deterministic SVD,0.184341155129828,0.1499247180593284,1.9018945693969729,False
oscil_dcop_12,Randomized SVD,0.1843411551302625,0.1499247180593284,0.0651564598083496,False
oscil_dcop_12,RL-DQN,0.9953181873353726,1.0000000000000002,0.2326884269714355,False
oscil_dcop_12,RL-A2C,0.8412861940255922,0.9994990330064408,1.85015606880188,False
oscil_dcop_12,CUR,2.903141830247304,4.239899508508639,0.0618901252746582,False
oscil_dcop_13,Deterministic SVD,0.1843411018514553,0.1499247180593284,3.706263303756714,False
oscil_dcop_13,Randomized SVD,0.1843411018514716,0.1499247180593284,0.2381114959716797,False
oscil_dcop_13,RL-DQN,0.9979539671860872,1.0,0.2558801174163818,False
oscil_dcop_13,RL-A2C,0.9999976950149378,1.0000000000000002,2.628568410873413,False
oscil_dcop_13,CUR,2.0562711744313047,4.240280940279583,0.1021432876586914,False
oscil_dcop_10,Unoptimized Randomized SVD,0.9719955918997585,0.7177398048165953,0.023273229598999023,True
oscil_dcop_11,Unoptimized Randomized SVD,0.9706900433193615,0.6754272017513794,0.04567885398864746,False
oscil_dcop_12,Unoptimized Randomized SVD,0.972814815437471,0.7318626302211627,0.0035486221313476562,False
oscil_dcop_13,Unoptimized Randomized SVD,0.9748468068898488,0.772058450226322,0.01415252685546875,False
