matrix,method,rank,error,time
G12,Deterministic SVD,10,0.9811948877242171,0.21773266792297363
G12,Weighted Ensemble,10,0.9891599971693154,0.6657979488372803
G12,Hybrid SVD-Ensemble,10,0.9872429705168668,0.4921748638153076
G12,Matrix-Adaptive,10,1.0091766445969703,1.0476844310760498
G12,Deterministic SVD,20,0.9631773850492176,0.21833181381225586
G12,Weighted Ensemble,20,0.9774008901162307,2.697261095046997
G12,Hybrid SVD-Ensemble,20,0.9748536702420689,0.568242073059082
G12,Matrix-Adaptive,20,1.0063567234709982,0.008988142013549805
G12,Deterministic SVD,30,0.9453282076625011,0.21299362182617188
G12,Weighted Ensemble,30,0.9667923768834754,6.363414287567139
G12,Hybrid SVD-Ensemble,30,0.9625796705725318,1.0377774238586426
G12,Matrix-Adaptive,30,0.9872321498687324,0.012233734130859375
G12,Deterministic SVD,40,0.9277050134030111,0.23313689231872559
G12,Weighted Ensemble,40,0.9560661587986471,12.480461120605469
G12,Hybrid SVD-Ensemble,40,0.9503127552842855,0.8161792755126953
G12,Matrix-Adaptive,40,0.9700719792510442,0.015315771102905273
G12,Deterministic SVD,50,0.9101676991346291,0.22866034507751465
G12,Weighted Ensemble,50,0.9448875594482128,19.776440382003784
G12,Hybrid SVD-Ensemble,50,0.9386087306214839,0.9971616268157959
G12,Matrix-Adaptive,50,1.0278508309989305,0.020277023315429688
G12,Deterministic SVD,60,0.8927848776205369,0.24553489685058594
G12,Weighted Ensemble,60,0.9339097922176424,30.05144429206848
G12,Hybrid SVD-Ensemble,60,0.9274450816745502,1.1874616146087646
G12,Matrix-Adaptive,60,1.0817323018380192,0.044527530670166016
G12,Deterministic SVD,70,0.8753619529248078,0.2467644214630127
G12,Weighted Ensemble,70,0.9226321043622967,44.40213966369629
G12,Hybrid SVD-Ensemble,70,0.916349610801417,1.7280058860778809
G12,Matrix-Adaptive,70,1.3282992525589001,0.07514739036560059
G12,Deterministic SVD,80,0.8584595683202128,0.25623154640197754
G12,Weighted Ensemble,80,0.9112148484303798,68.36287069320679
G12,Hybrid SVD-Ensemble,80,0.9049552101320316,2.5526883602142334
G12,Matrix-Adaptive,80,1.316426172513779,0.08632326126098633
G12,Deterministic SVD,90,0.8415668956786178,0.3080480098724365
G12,Weighted Ensemble,90,0.8989577298182602,89.37437582015991
G12,Hybrid SVD-Ensemble,90,0.8937920123513393,3.45320200920105
G12,Matrix-Adaptive,90,2.0525495642853664,0.10833334922790527
G12,Deterministic SVD,100,0.8247181702753823,0.29204726219177246
G12,Weighted Ensemble,100,0.8868835887533381,121.12538361549377
G12,Hybrid SVD-Ensemble,100,0.8826599328924837,5.059552192687988
G12,Matrix-Adaptive,100,2.1437935439350473,0.21027588844299316
G13,Deterministic SVD,10,0.9806061277435512,0.3210446834564209
G13,Weighted Ensemble,10,0.9890020222426241,1.5225441455841064
G13,Hybrid SVD-Ensemble,10,0.9870238349444104,0.718865156173706
G13,Matrix-Adaptive,10,0.9924891547126458,0.04070925712585449
G13,Deterministic SVD,20,0.9619212244743519,0.3264594078063965
G13,Weighted Ensemble,20,0.9777205633513084,4.281370639801025
G13,Hybrid SVD-Ensemble,20,0.9743071579959713,0.8238832950592041
G13,Matrix-Adaptive,20,1.0049688851316005,0.029419422149658203
G13,Deterministic SVD,30,0.9436893662810674,0.31745243072509766
G13,Weighted Ensemble,30,0.9669539802906858,10.381172895431519
G13,Hybrid SVD-Ensemble,30,0.9617537757112958,0.9575762748718262
G13,Matrix-Adaptive,30,0.9948583603058868,0.025232791900634766
G13,Deterministic SVD,40,0.9256959480359688,0.3229358196258545
G13,Weighted Ensemble,40,0.9554122147010682,18.72977590560913
G13,Hybrid SVD-Ensemble,40,0.9494932194591987,1.0931217670440674
G13,Matrix-Adaptive,40,1.0086823801506186,0.03595161437988281
G13,Deterministic SVD,50,0.9079995615554542,0.31144046783447266
G13,Weighted Ensemble,50,0.9443913383762051,30.06974744796753
G13,Hybrid SVD-Ensemble,50,0.9376646117753663,1.2925012111663818
G13,Matrix-Adaptive,50,1.014751046318804,0.04609942436218262
G13,Deterministic SVD,60,0.8905703344909366,0.31372880935668945
G13,Weighted Ensemble,60,0.933072880326076,44.30254364013672
G13,Hybrid SVD-Ensemble,60,0.9257968674902496,1.4711260795593262
G13,Matrix-Adaptive,60,1.2641042768039035,0.05186653137207031
G13,Deterministic SVD,70,0.8734064998335251,0.31458497047424316
G13,Weighted Ensemble,70,0.9214458746991057,64.6791603565216
G13,Hybrid SVD-Ensemble,70,0.9142464503232002,2.1769261360168457
G13,Matrix-Adaptive,70,2.0180297771683464,0.09787845611572266
G13,Deterministic SVD,80,0.8563312240441243,0.3319437503814697
G13,Weighted Ensemble,80,0.909154827298409,83.93478584289551
G13,Hybrid SVD-Ensemble,80,0.9027197923249586,2.949528694152832
G13,Matrix-Adaptive,80,1.682061339918054,0.12546014785766602
G13,Deterministic SVD,90,0.8393488903384945,0.3214259147644043
G13,Weighted Ensemble,90,0.8973920547898783,109.24452781677246
G13,Hybrid SVD-Ensemble,90,0.8918075836196844,4.104304552078247
G13,Matrix-Adaptive,90,1.4062091042982583,0.14809656143188477
G13,Deterministic SVD,100,0.8224331134546634,0.3339564800262451
G13,Weighted Ensemble,100,0.8854730374212418,136.08824062347412
G13,Hybrid SVD-Ensemble,100,0.8807720623742034,5.098342657089233
G13,Matrix-Adaptive,100,6.842209160651222,0.1683063507080078
G14,Deterministic SVD,10,0.9067967985596675,0.30141687393188477
G14,Weighted Ensemble,10,0.970308142087759,0.9413490295410156
