matrix,method,rel_frob_error,spec_error,time
G1,Deterministic SVD,0.8825594964802567,0.2424956166108577,2.739229440689087
G1,Randomized SVD,0.8841680259704101,0.24883003355322345,0.48337841033935547
G1,CUR,11.77893153048919,37.63905453352512,0.18017363548278809
G1,Ensemble DQN,0.9290060619753006,0.5310640364530999,4.422270059585571
G1,Ensemble A2C,0.9292199522694304,0.524059378891554,8.82775354385376
G1,Single DQN (G1),0.9295741894058835,0.5475359540318591,3.8111705780029297
G1,Single A2C (G1),0.9296664042029996,0.5305820475454763,8.321270942687988
G10,Deterministic SVD,0.9088650436547107,0.8805911386264045,1.4451429843902588
G10,Randomized SVD,0.9105909976754805,0.9026607289337144,0.27586841583251953
G10,CUR,17.380163484705356,227.98391644798045,0.20507287979125977
G10,Ensemble DQN,0.9498295402106057,0.9755320235749023,4.0946831703186035
G10,Ensemble A2C,0.949805555223879,0.9741913828652158,8.906420230865479
G10,Single DQN (G1),0.9511728830761196,0.9713767015057103,4.164787769317627
G10,Single A2C (G1),0.94958581814128,0.9774242869605563,9.478759765625
G11,Deterministic SVD,0.9296439944905205,0.9257720418414411,1.1699779033660889
G11,Randomized SVD,0.9322180102508192,0.9536479950842951,0.35245823860168457
G11,CUR,1.01401473899446,3.5997922066884285,0.1331472396850586
G11,Ensemble DQN,0.9566216598007803,0.993011575870014,3.8249948024749756
G11,Ensemble A2C,0.9573727069433305,0.9963070873333111,8.49922513961792
G11,Single DQN (G1),0.9576664346211576,0.9999892849681928,4.377080202102661
G11,Single A2C (G1),0.9569482744641947,0.9999959868659983,8.141129493713379
G12,Deterministic SVD,0.9277050134030113,0.9061336473003929,1.272395372390747
G12,Randomized SVD,0.9300502475252866,0.9351523710900683,0.23930644989013672
G12,CUR,1.0442619345722188,2.7065976006791215,0.20978045463562012
G12,Ensemble DQN,0.9552393118256508,0.9915324571647264,4.0368475914001465
G12,Ensemble A2C,0.9563058262571307,0.9909027522062581,8.443304777145386
G12,Single DQN (G1),0.9557555911424216,0.98869308459086,4.2200400829315186
G12,Single A2C (G1),0.9563357804662543,0.9923584207108317,8.715073823928833
G13,Deterministic SVD,0.925695948035969,0.9143509391720555,1.2435338497161865
G13,Randomized SVD,0.9279196786361507,0.9394661161732658,0.3050878047943115
G13,CUR,1.0140823857817316,2.5569878118873013,0.2053673267364502
G13,Ensemble DQN,0.9575891261516127,0.9981370031197204,3.96583890914917
G13,Ensemble A2C,0.9570897728705147,0.9989222778718666,9.190444231033325
G13,Single DQN (G1),0.9564913716535131,0.9955571728642967,3.919243097305298
G13,Single A2C (G1),0.9546050666811555,0.9994815059098097,9.513544797897339
G14,Deterministic SVD,0.7785229933205559,0.3112885463366361,1.3093512058258057
G14,Randomized SVD,0.7787501584725615,0.31159515755856587,0.32805585861206055
G14,CUR,9.151104317114742,29.692724002881793,0.2133166790008545
G14,Ensemble DQN,0.9122492118777739,0.6963075311226401,4.684595346450806
G14,Ensemble A2C,0.9183493239341771,0.7341993879389241,9.034628629684448
G14,Single DQN (G1),0.8990831577548176,0.6386080272639645,3.991285800933838
G14,Single A2C (G1),0.9152911606892546,0.7289768508902018,8.417518615722656
G15,Deterministic SVD,0.7741928431374634,0.29641700815094857,1.5213634967803955
G15,Randomized SVD,0.7745310559944757,0.296754406843606,0.36559319496154785
G15,CUR,81.97816986557247,335.4754049672294,0.19878458976745605
G15,Ensemble DQN,0.9137051716250374,0.7178996882743095,4.970642566680908
G15,Ensemble A2C,0.9147287273608371,0.7241539701987124,9.490513324737549
G15,Single DQN (G1),0.9034324005179438,0.6509531130721945,4.545422077178955
G15,Single A2C (G1),0.8960448457483189,0.6397990260103935,8.790837049484253
G2,Deterministic SVD,0.8815786785184972,0.24363688535723144,1.371156930923462
G2,Randomized SVD,0.8833749251252395,0.25087201864260217,0.339709997177124
G2,CUR,10.311451376175519,31.11903857622131,0.1388702392578125
G2,Ensemble DQN,0.9284148941236963,0.5249034388126812,4.120499849319458
G2,Ensemble A2C,0.9289041378617687,0.5157186953162184,8.47775411605835
G2,Single DQN (G1),0.9288925207284343,0.5246880446613601,3.9682705402374268
G2,Single A2C (G1),0.9299145751041369,0.5521940316942182,9.651004552841187
G3,Deterministic SVD,0.8819091279636786,0.24221601797408926,1.3471488952636719
G3,Randomized SVD,0.8837205427464132,0.2490640725801439,0.305051326751709
G3,CUR,31.270278869647047,120.47366449143664,0.17141079902648926
G3,Ensemble DQN,0.9296889897748407,0.5357094596185167,4.743447542190552
G3,Ensemble A2C,0.9297042218681701,0.5421649493386747,8.518165826797485
G3,Single DQN (G1),0.9308262283475284,0.5517140301984043,4.427374839782715
G3,Single A2C (G1),0.929596464650629,0.5384052460109023,9.300172567367554
G4,Deterministic SVD,0.8818156973907122,0.24211161841128573,1.1648313999176025
G4,Randomized SVD,0.8836088590999784,0.248925205820665,0.39154982566833496
G4,CUR,10.29139616787198,29.844214574264832,0.17061161994934082
G4,Ensemble DQN,0.9298468738017251,0.5315641123165287,4.47761082649231
G4,Ensemble A2C,0.9289920758461168,0.5208798598546663,8.988490343093872
G4,Single DQN (G1),0.9299411785239418,0.5415680019710822,3.969003200531006
G4,Single A2C (G1),0.9287821786609336,0.529553438386221,9.323007106781006
G5,Deterministic SVD,0.8817628137957818,0.24218111161340874,1.5743343830108643
G5,Randomized SVD,0.8836307409949204,0.24972586745121123,0.3149547576904297
G5,CUR,44.76563728878938,176.81524985195344,0.17897963523864746
G5,Ensemble DQN,0.9298131643720158,0.5412363721846303,4.384880542755127
