matrix,method,rel_frob_error,spec_error,time,train_matrix
G1,Deterministic SVD,0.8825594964802567,0.2424956166108577,3.2486703395843506,True
G1,Randomized SVD,0.8843186512063654,0.24752143194291126,0.4789266586303711,True
G1,RL-DQN,0.9296631462898562,0.5369916531169884,4.00481653213501,True
G1,RL-A2C,0.9297637657561395,0.53734051276119,14.62400770187378,True
G1,CUR,22.20367069314114,79.10912927497037,0.27819132804870605,True
G10,Deterministic SVD,0.9088650436547107,0.8805911386264045,3.6249685287475586,False
G10,Randomized SVD,0.9107220575935719,0.9030648359629048,0.17612457275390625,False
G10,RL-DQN,0.9497511993405505,0.9710700707899058,4.261086702346802,False
G10,RL-A2C,0.9486961881727406,0.9650352207029634,12.046709775924683,False
G10,CUR,18.585586742978037,215.07918535879233,0.12988018989562988,False
G11,Deterministic SVD,0.9296439944905205,0.9257720418414411,1.7111003398895264,False
G11,Randomized SVD,0.9321454655864964,0.9530324689333889,0.955357551574707,False
G11,RL-DQN,0.9561315286089044,0.9987615464608641,3.8533682823181152,False
G11,RL-A2C,0.9582971007643367,0.9999956449357597,10.26640772819519,False
G11,CUR,1.052985133807246,4.222615316188986,0.1385354995727539,False
G12,Deterministic SVD,0.9277050134030113,0.9061336473003929,2.733128786087036,False
G12,Randomized SVD,0.9299444171302699,0.9301034497877239,0.3675990104675293,False
G12,RL-DQN,0.9546874701096769,0.9813125024212144,3.5532219409942627,False
G12,RL-A2C,0.9551832284959781,0.9776688749151521,10.168901681900024,False
G12,CUR,0.9892619429191242,1.9619310966169483,0.17698311805725098,False
G13,Deterministic SVD,0.925695948035969,0.9143509391720555,1.1944539546966553,False
G13,Randomized SVD,0.9280267093356745,0.9381718267251846,0.13689780235290527,False
G13,RL-DQN,0.9562783549388442,0.9995505349479848,3.0145151615142822,False
G13,RL-A2C,0.9555648416861445,0.9985103961973272,7.864576816558838,False
G13,CUR,0.9579185695810876,1.7520708238093934,0.11125731468200684,False
G14,Deterministic SVD,0.7785229933205559,0.3112885463366361,1.0793898105621338,False
G14,Randomized SVD,0.7787669890695453,0.31137677459175706,0.28957605361938477,False
G14,RL-DQN,0.9033704094351472,0.6084559799433265,2.8966434001922607,False
G14,RL-A2C,0.9017054560942313,0.6240899140160545,7.151050329208374,False
G14,CUR,19.180584038825696,78.76971810046474,0.12063074111938477,False
G15,Deterministic SVD,0.7741928431374634,0.29641700815094857,0.8690242767333984,False
G15,Randomized SVD,0.7746341069714037,0.29917645733364295,0.1833939552307129,False
G15,RL-DQN,0.9013041962651116,0.6523866186421864,2.7968454360961914,False
G15,RL-A2C,0.9073342394373081,0.6821403256677788,7.1382832527160645,False
G15,CUR,27.960382525077968,111.44455193672786,0.19139981269836426,False
G16,Deterministic SVD,0.7771913458142261,0.30933561702570855,0.8402278423309326,False
G16,Randomized SVD,0.7775184429949484,0.31015905287089485,0.22893118858337402,False
G16,RL-DQN,0.9042990344957236,0.6587800287250825,3.9816513061523438,False
G16,RL-A2C,0.9106215522226981,0.6991938824401057,7.800110816955566,False
G16,CUR,9.706377101666831,32.18786630673352,0.2082204818725586,False
G17,Deterministic SVD,0.7750812277824217,0.30325743334453664,1.0337319374084473,False
G17,Randomized SVD,0.7753839017541913,0.3052026554832752,0.1495680809020996,False
G17,RL-DQN,0.9006544124552581,0.6569146714559143,2.775848627090454,False
G17,RL-A2C,0.9004347747297874,0.6284253495710006,6.588785886764526,False
G17,CUR,13.168647251644158,47.586618827961196,0.10860586166381836,False
G2,Deterministic SVD,0.8815786785184972,0.24363688535723144,0.9237666130065918,False
G2,Randomized SVD,0.8834381984654167,0.24998610891615727,0.17640304565429688,False
G2,RL-DQN,0.9279583634268612,0.5165550682245901,2.796285629272461,False
G2,RL-A2C,0.9290611101016664,0.5283872235218018,6.517019510269165,False
G2,CUR,24.693035768749102,95.74424006914315,0.10543203353881836,False
G3,Deterministic SVD,0.8819091279636786,0.24221601797408926,0.8729686737060547,False
G3,Randomized SVD,0.8839648447879598,0.2501837017889648,0.21956777572631836,False
G3,RL-DQN,0.9302272455533618,0.5424635957159905,2.6449689865112305,False
G3,RL-A2C,0.9297694338068634,0.5294336112856288,6.54692530632019,False
G3,CUR,114.80550218357234,457.24168844683624,0.10749697685241699,False
G4,Deterministic SVD,0.8818156973907122,0.24211161841128573,0.8720006942749023,False
G4,Randomized SVD,0.8836285019330613,0.2493919222775505,0.15424847602844238,False
G4,RL-DQN,0.9299349374467123,0.5387740836064471,3.254655361175537,False
G4,RL-A2C,0.929426742328254,0.5349257684497428,8.430699586868286,False
G4,CUR,12.414937576035491,43.63330001146804,0.09287381172180176,False
G5,Deterministic SVD,0.8817628137957818,0.24218111161340874,1.0404391288757324,False
G5,Randomized SVD,0.8837467535651394,0.2498928342242013,0.21119117736816406,False
G5,RL-DQN,0.9284868879281467,0.5254003378133455,2.6980533599853516,False
G5,RL-A2C,0.9291027733970164,0.5300194348847536,7.191870450973511,False
G5,CUR,14.181683721721985,44.52978002825161,0.10379624366760254,False
